year;p0.001_atr_us;p0.01_atr_us;p0.1_atr_us;p1_atr_us;p10_atr_us;p50_atr_us;p0.001_gis_us;p0.01_gis_us;p0.1_gis_us;p1_gis_us;p10_gis_us;p50_gis_us;p0.001_its_us;p0.01_its_us;p0.1_its_us;p1_its_us;p10_its_us;p50_its_us
2001;24.04;26.46;28.17;27.6;21.68;4.92;1.38;3.54;8.05;17.41;42.5;14.4;2.3;6.48;15.68;33.22;63.68;4.9
2002;24.4;26.97;28.48;27.37;20.76;3.86;1.15;3;7.04;16.05;41.33;14.5;2.11;6.09;15.09;33.09;64.63;4.21
2003;20.63;22.91;24.6;24.38;18.7;3.49;1.35;3.35;7.56;16.73;42.01;14.13;2.3;6.33;15.37;33.69;64.89;4.07
2004;19.15;21.3;23.06;23.52;18.8;3.53;1.66;4.16;9.14;18.99;44.07;13.49;2.59;7.21;17.12;36.28;67.3;3.87
2005;18.95;20.73;22.48;23.15;19.03;3.51;1.95;4.92;10.64;21.19;46.17;12.94;2.92;8.07;18.91;38.78;69.46;3.59
2006;18.09;19.95;21.94;22.8;19.02;3.51;2.14;5.25;11.23;22.1;47.17;12.42;3.02;8.18;19.24;39.36;70.08;3.41
2007;17.58;19.45;21.42;22.46;18.96;3.56;2.55;5.84;11.95;22.86;47.88;12.19;3.47;8.81;19.84;39.81;70.41;3.36
2008;19.13;20.88;22.67;23.29;18.87;3.26;2.11;4.85;10.06;20.19;45.98;11.92;3.22;8.08;18.2;37.51;69.2;3.1
2009;20.86;22.81;24.28;24.05;18.19;2.35;1.67;3.72;7.94;17.21;43.77;11.88;3.05;7.44;16.91;36.34;69.89;2.46
2010;18.87;20.84;22.84;23.39;18.46;2.37;2.07;4.56;9.24;18.87;45.17;11.74;3.31;8.05;17.88;37.38;70.62;2.36
2011;18.27;20.61;22.82;23.5;18.85;3.13;1.74;4.12;8.86;18.7;45.39;11.55;2.54;6.77;16.14;35.06;68.26;2.89
2012;17.6;19.53;21.67;22.83;19.21;3.28;2.42;5.55;11.25;21.86;47.87;11.1;3.25;8.26;18.6;38.09;70.17;2.78
2013;24.12;26.21;27.91;27.08;20.75;3.3;1.87;4.26;9.03;19.04;45.87;11.49;3.31;8.19;18.48;37.8;69.8;2.78
2014;24.01;25.92;27.67;27.16;21.25;3.45;2.13;4.9;10.16;20.58;47.21;11.27;3.62;8.97;19.85;39.48;70.88;2.75
2015;23.93;25.69;27.44;27.1;21.37;3.59;2.12;4.88;10.19;20.65;47.36;11.28;3.53;8.75;19.5;39.04;70.59;2.83
2016;22.86;25.03;27.05;26.87;21.19;3.73;2.02;4.54;9.52;19.72;46.56;11.59;3.25;8;18.12;37.32;69.47;3.04
2017;24.1;25.29;26.93;26.76;21.49;4.05;2.34;5.17;10.52;21.04;47.74;11.25;3.86;8.93;19.34;38.47;70.08;3.11
2018;22.92;24.46;25.96;25.44;19.89;3.36;2.09;4.93;10.35;20.93;47.66;11.61;3.61;9.08;20.22;40.08;71.37;2.94